Function,Used Registers,Shared Memory,Constant Memory
_ZN5caffe20col2im_nd_gpu_kernelIdLi1EEEviPKT_PKiS5_S5_S5_S5_S5_PS1_,31,32,-1,440,424

_ZN5caffe20col2im_nd_gpu_kernelIfLi4EEEviPKT_PKiS5_S5_S5_S5_S5_PS1_,72,70,2,440,424

_ZN5caffe20col2im_nd_gpu_kernelIfLi3EEEviPKT_PKiS5_S5_S5_S5_S5_PS1_,62,62,0,440,424

_ZN5caffe20col2im_nd_gpu_kernelIfLi2EEEviPKT_PKiS5_S5_S5_S5_S5_PS1_,46,46,0,440,424

_ZN5caffe20col2im_nd_gpu_kernelIfLi1EEEviPKT_PKiS5_S5_S5_S5_S5_PS1_,31,30,1,440,424

_ZN5caffe20im2col_nd_gpu_kernelIdLi10EEEviPKT_PKiS5_S5_S5_S5_S5_PS1_,94,93,1,440,424

_ZN5caffe20im2col_nd_gpu_kernelIdLi9EEEviPKT_PKiS5_S5_S5_S5_S5_PS1_,88,86,2,440,424

_ZN5caffe20im2col_nd_gpu_kernelIdLi6EEEviPKT_PKiS5_S5_S5_S5_S5_PS1_,59,59,0,440,424

_ZN5caffe20im2col_nd_gpu_kernelIdLi5EEEviPKT_PKiS5_S5_S5_S5_S5_PS1_,52,52,0,440,424

_ZN5caffe20im2col_nd_gpu_kernelIdLi4EEEviPKT_PKiS5_S5_S5_S5_S5_PS1_,44,44,0,440,424

_ZN5caffe20im2col_nd_gpu_kernelIdLi3EEEviPKT_PKiS5_S5_S5_S5_S5_PS1_,42,42,0,440,424

_ZN5caffe20im2col_nd_gpu_kernelIdLi2EEEviPKT_PKiS5_S5_S5_S5_S5_PS1_,33,33,0,440,424

_ZN5caffe20im2col_nd_gpu_kernelIdLi1EEEviPKT_PKiS5_S5_S5_S5_S5_PS1_,24,24,0,440,424

_ZN5caffe20im2col_nd_gpu_kernelIfLi10EEEviPKT_PKiS5_S5_S5_S5_S5_PS1_,94,93,1,440,424

_ZN5caffe20im2col_nd_gpu_kernelIfLi9EEEviPKT_PKiS5_S5_S5_S5_S5_PS1_,88,86,2,440,424

_ZN5caffe20im2col_nd_gpu_kernelIfLi6EEEviPKT_PKiS5_S5_S5_S5_S5_PS1_,62,62,0,440,424

_ZN5caffe20im2col_nd_gpu_kernelIfLi5EEEviPKT_PKiS5_S5_S5_S5_S5_PS1_,54,54,0,440,424

_ZN5caffe20im2col_nd_gpu_kernelIfLi4EEEviPKT_PKiS5_S5_S5_S5_S5_PS1_,46,46,0,440,424

_ZN5caffe20im2col_nd_gpu_kernelIfLi3EEEviPKT_PKiS5_S5_S5_S5_S5_PS1_,40,40,0,440,424

_ZN5caffe20im2col_nd_gpu_kernelIfLi2EEEviPKT_PKiS5_S5_S5_S5_S5_PS1_,34,34,0,440,424

_ZN5caffe20im2col_nd_gpu_kernelIfLi1EEEviPKT_PKiS5_S5_S5_S5_S5_PS1_,24,24,0,440,424

_Z10dot_kernelI7double2Li128ELi1E15cublasDotParamsI30cublasGemvTensorStridedBatchedIKS0_ES2_IS0_EEEvT2_,34,36,-2,944,424

_Z10dot_kernelI6float2Li128ELi1E15cublasDotParamsI30cublasGemvTensorStridedBatchedIKS0_ES2_IS0_EEEvT2_,30,30,0,944,424

_Z20reduce_1Block_kernelI7double2Li128ELi7E30cublasGemvTensorStridedBatchedIS0_ES2_S2_EvPKT_S3_T2_iS5_S3_T3_T4_19cublasPointerMode_t18cublasLtEpilogue_tS1_IKN8biasTypeINS8_10value_typeES3_E4typeEE,38,36,2,616,488

_Z10dot_kernelI7double2Li128ELi0E15cublasDotParamsI30cublasGemvTensorStridedBatchedIKS0_ES2_IS0_EEEvT2_,34,36,-2,944,424

_Z10dot_kernelI6float2Li128ELi0E15cublasDotParamsI30cublasGemvTensorStridedBatchedIKS0_ES2_IS0_EEEvT2_,30,30,0,944,424

_Z10dot_kernelIdLi128ELi0E15cublasDotParamsI30cublasGemvTensorStridedBatchedIKdES1_IdEEEvT2_,30,31,-1,944,424

_Z10dot_kernelIfLi128ELi0E15cublasDotParamsI30cublasGemvTensorStridedBatchedIKfES1_IfEEEvT2_,30,30,0,944,424

_Z10dot_kernelIfLi128ELi0E15cublasDotParamsI30cublasGemvTensorStridedBatchedIK13__nv_bfloat16ES1_IfEEEvT2_,30,30,0,944,424

_Z10dot_kernelIfLi128ELi0E15cublasDotParamsI30cublasGemvTensorStridedBatchedIK6__halfES1_IfEEEvT2_,30,30,0,944,424

_Z10dot_kernelIfLi128ELi0E15cublasDotParamsI30cublasGemvTensorStridedBatchedIKaES1_IfEEEvT2_,30,30,0,944,424

_Z10dot_kernelI7double2Li64ELi0E15cublasDotParamsI16cublasGemvTensorIKS0_E30cublasGemvTensorStridedBatchedIS0_EEEvT2_,24,22,2,816,408

_Z20reduce_1Block_kernelI7double2Li64ELi6E30cublasGemvTensorStridedBatchedIS0_E16cublasGemvTensorIS0_ES4_EvPKT_S5_T2_iS7_S5_T3_T4_19cublasPointerMode_t18cublasLtEpilogue_tS1_IKN8biasTypeINSA_10value_typeES5_E4typeEE,46,46,0,600,472

_Z20reduce_1Block_kernelI7double2Li64ELi6E30cublasGemvTensorStridedBatchedIS0_ES2_S2_EvPKT_S3_T2_iS5_S3_T3_T4_19cublasPointerMode_t18cublasLtEpilogue_tS1_IKN8biasTypeINS8_10value_typeES3_E4typeEE,46,46,0,616,488

_Z10dot_kernelI7double2Li64ELi1E15cublasDotParamsI16cublasGemvTensorIKS0_E30cublasGemvTensorStridedBatchedIS0_EEEvT2_,24,22,2,816,408

_Z20reduce_1Block_kernelIdLi128ELi7E30cublasGemvTensorStridedBatchedIdE16cublasGemvTensorIdES3_EvPKT_S4_T2_iS6_S4_T3_T4_19cublasPointerMode_t18cublasLtEpilogue_tS0_IKN8biasTypeINS9_10value_typeES4_E4typeEE,26,26,0,576,448

_Z20reduce_1Block_kernelIdLi128ELi7E30cublasGemvTensorStridedBatchedIdES1_S1_EvPKT_S2_T2_iS4_S2_T3_T4_19cublasPointerMode_t18cublasLtEpilogue_tS0_IKN8biasTypeINS7_10value_typeES2_E4typeEE,26,26,0,592,464

_Z10dot_kernelIdLi128ELi0E15cublasDotParamsI16cublasGemvTensorIKdE30cublasGemvTensorStridedBatchedIdEEEvT2_,20,24,-4,816,408

_Z10dot_kernelI6float2Li128ELi0E15cublasDotParamsI16cublasGemvTensorIKS0_E30cublasGemvTensorStridedBatchedIS0_EEEvT2_,20,20,0,816,408

_Z20reduce_1Block_kernelI6float2Li128ELi7E30cublasGemvTensorStridedBatchedIS0_E16cublasGemvTensorIS0_ES4_EvPKT_S5_T2_iS7_S5_T3_T4_19cublasPointerMode_t18cublasLtEpilogue_tS1_IKN8biasTypeINSA_10value_typeES5_E4typeEE,36,36,0,576,448

